 0, 0, 0,        0, 0, 1,    0,0,
 0, -1.5, 0,      0, 0, 1,    0,1,
 .3, 0, 0,       0, 0, 1,    1,0,
 0, -1.5, 0,      0, 0, 1,    0,1,
 .3, -1.5, 0,     0, 0, 1,    1,1,
 .3, 0, 0,       0, 0, 1,    1,0,
 .3, 0, 0,       0, 0, 1,    0,0,
 .3, -.3, 0,      0, 0, 1,    0,1,
 1, 0, 0,      0, 0, 1,    1,0,
 .3, -.3, 0,      0, 0, 1,    0,1,
 1, -.3, 0,     0, 0, 1,    1,1,
 1, 0, 0,      0, 0, 1,    1,0,
 .3, -.6, 0,      0, 0, 1,    0,0,
 .3, -.9, 0,      0, 0, 1,    0,1,
 .67, -.6, 0,      0, 0, 1,    1,0,
 .3, -.9, 0,      0, 0, 1,    0,1,
 .67, -.9, 0,      0, 0, 1,    1,1,
 .67, -.6, 0,      0, 0, 1,    1,0,
 0, 0, -.3,       0, 0, -1,   0,1,
 .3, 0, -.3,      0, 0, -1,   1,1,
 0, -1.5, -.3,     0, 0, -1,   0,0,
 0, -1.5, -.3,     0, 0, -1,   0,0,
 .3, 0, -.3,      0, 0, -1,   1,1,
 .3, -1.5, -.3,    0, 0, -1,   1,0,
 .3, 0, -.3,      0, 0, -1,   0,1,
 1, 0, -.3,     0, 0, -1,   1,1,
 .3, -.3, -.3,     0, 0, -1,   0,0,
 .3, -.3, -.3,     0, 0, -1,   0,0,
 1, 0, -.3,     0, 0, -1,   1,1,
 1, -.3, -.3,    0, 0, -1,   1,0,
 .3, -.6, -.3,     0, 0, -1,   0,1,
 .67, -.6, -.3,     0, 0, -1,   1,1,
 .3, -.9, -.3,     0, 0, -1,   0,0,
 .3, -.9, -.3,     0, 0, -1,   0,0,
 .67, -.6, -.3,     0, 0, -1,   1,1,
 .67, -.9, -.3,     0, 0, -1,   1,0,
 0, 0, 0,        0, 1, 0,    0,0,
 1, 0, 0,      0, 1, 0,    1,0,
 1, 0, -.3,     0, 1, 0,    1,1,
 0, 0, 0,        0, 1, 0,    0,0,
 1, 0, -.3,     0, 1, 0,    1,1,
 0, 0, -.3,       0, 1, 0,    0,1,
 1, -0, 0,      1, 0, 0,    0,0,
 1, -.3, 0,     1, 0, 0,    1,0,
 1, -.3, -.3,    1, 0, 0,    1,1,
 1, -0, 0,      1, 0, 0,    0,0,
 1, -.3, -.3,    1, 0, 0,    1,1,
 1, -0, -.3,     1, 0, 0,    0,1,
 .3, -.3, -0,      0, -1, 0,   0,0,
 .3, -.3, -.3,     0, -1, 0,   0,1,
 1, -.3, -.3,    0, -1, 0,   1,1,
 .3, -.3, -0,      0, -1, 0,   0,0,
 1, -.3, -.3,    0, -1, 0,   1,1,
 1, -.3, -0,     0, -1, 0,   1,0,
 .3, -.3, -0,      1, 0, 0,    0,0,
 .3, -.6, -.3,     1, 0, 0,    1,1,
 .3, -.3, -.3,     1, 0, 0,    0,1,
 .3, -.3, -0,      1, 0, 0,    0,0,
 .3, -.6, -0,      1, 0, 0,    1,0,
 .3, -.6, -.3,     1, 0, 0,    1,1,
 .3, -.6, -0,      0, 1, 0,    0,0,
 .67, -.6, -.3,     0, 1, 0,    1,1,
 .3, -.6, -.3,     0, 1, 0,    0,1,
 .3, -.6, -0,      0, 1, 0,    0,0,
 .67, -.6, -0,      0, 1, 0,    1,0,
 .67, -.6, -.3,     0, 1, 0,    1,1,
 .67, -.6, -0,      1, 0, 0,    0,0,
 .67, -.9, -.3,     1, 0, 0,    1,1,
 .67, -.6, -.3,     1, 0, 0,    0,1,
 .67, -.6, -0,      1, 0, 0,    0,0,
 .67, -.9, -0,      1, 0, 0,    1,0,
 .67, -.9, -.3,     1, 0, 0,    1,1,
 .3, -.9, -0,      0, -1, 0,   0,0,
 .3, -.9, -.3,     0, -1, 0,   0,1,
 .67, -.9, -.3,     0, -1, 0,   1,1,
 .3, -.9, -0,      0, -1, 0,   0,0,
 .67, -.9, -.3,     0, -1, 0,   1,1,
 .67, -.9, -0,      0, -1, 0,   1,0,
 .3, -.9, -0,      1, 0, 0,    0,0,
 .3, -1.5, -.3,    1, 0, 0,    1,1,
 .3, -.9, -.3,     1, 0, 0,    0,1,
 .3, -.9, -0,      1, 0, 0,    0,0,
 .3, -1.5, -0,     1, 0, 0,    1,0,
 .3, -1.5, -.3,    1, 0, 0,    1,1,
 0, -1.5, -0,      0, -1, 0,   0,0,
 0, -1.5, -.3,     0, -1, 0,   0,1,
 .3, -1.5, -.3,    0, -1, 0,   1,1,
 0, -1.5, -0,      0, -1, 0,   0,0,
 .3, -1.5, -.3,    0, -1, 0,   1,1,
 .3, -1.5, -0,     0, -1, 0,   1,0,
 0, -0, -0,        -1, 0, 0,   0,0,
 0, -0, -.3,       -1, 0, 0,   0,1,
 0, -1.5, -.3,     -1, 0, 0,   1,1,
 0, -0, -0,        -1, 0, 0,   0,0,
 0, -1.5, -.3,     -1, 0, 0,   1,1,
 0, -1.5, -0,       -1, 0, 0,   1,0,
